a, No-opt, Simplify and Caching, Solving Reduction, All
1, 1659, 1.19, 1.66, 327 % hash
2, 4000, 0.87, 1.21, 2964 % aes
3, 0, 0.64, 1.21, 0 % blowfish
4, 2, 0.65, 1.32, 2 % chacha20
5, 36, 0.75, 1.32, 34 % encoder
6, 0, 0.85, 1.32, 0 % ocb
7, 89, 0.95, 1.32, 89 % des
8, 827, 1.45, 1.32, 50 % str2key
9, 4000, 1.45, 1.32, 3711  % des
10, 212, 1.45, 1.32, 177 % camellia
11, 0, 1.45, 1.32, 0 % salsa
12, 2382, 1.45, 1.32, 321 % seed
13, 457, 1.45, 1.32, 273 % des
14, 0, 1.45, 1.32, 0 % salsa
15, 18, 1.45, 1.32, 17 % spectre
