a, No-opt, Simplify and Caching, Solving Reduction, All
1, 3.56, 1.19, 1.66, 0.56 % hash
2, 720, 0,0, 32.21 % aes
3, 2.57, 0.87, 1.21, 0.04  % blowfish
4, 61.42, 0,0, 0.31 % chacha20
5, 0.01, 0.65, 1.32, 0.00 % encoder
6, 0.00, 0.75, 1.32, 0.00 % ocb
7, 416.58, 0.85, 1.32, 10.71 % des
8, 0.73, 0.95, 1.32, 0.01 % str2key
9, 720, 0, 0, 52 % des
10, 48.108, 1.45, 1.32, 0.13 % camellia
11, 3.71, 1.45, 1.32, 0.03 % salsa
12, 290.68, 1.45, 1.32, 0.21 % seed
13, 0.42, 1.45, 1.32, 0.37 % des
14, 0.02, 1.45, 1.32, 0.00 % salsa
15, 0.00, 1.45, 1.32, 0.00 % spectre
